年份,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,21928591,21870876,3459624,2639939,1650984,2385367,1822102,2689374,465627,427980,559858,1301467,545874,748995,565733,910540,249937,356601,89463,382118,356243,263050,51060,6655
1999,22092387,22034096,3510917,2641312,1691292,2421996,1831783,2705857,465004,433767,559804,1305640,544038,746241,562662,909015,247801,355686,89013,385201,361958,265109,51731,6560
2000,22276672,22216107,3567896,2646474,1732617,2460098,1842337,2725267,465186,439713,559703,1310531,541537,743368,562305,907590,245312,353630,89496,388425,368439,266183,53832,6733
2001,22405568,22339759,3610252,2633802,1762963,2485968,1848243,2731415,465799,446300,560640,1313994,541818,743562,563365,909364,244612,353139,92268,390966,373296,267993,56958,8851
2002,22520776,22453080,3641446,2641856,1792603,2508495,1852664,2742905,464107,452679,560766,1316179,541292,742797,562394,906178,243965,352154,92446,391450,378797,267907,58933,8763
2003,22604550,22534761,3676533,2627138,1822075,2529763,1856461,2746819,463285,459287,560903,1316443,540397,740501,560410,903772,242842,351146,92253,392242,382897,269594,60983,8806
2004,22689122,22615307,3708099,2622472,1853029,2548332,1860591,2751602,462286,467246,560643,1316762,538413,736772,557903,900199,240373,349149,91808,392337,386950,270341,64456,9359
2005,22770383,22689774,3736677,2616375,1880316,2566220,1862918,2753486,461586,477677,559944,1315826,537168,733330,557101,898300,238943,347298,92489,391727,390692,271701,70264,10345
2006,22876527,22790250,3767095,2632242,1911161,2587828,1866727,2760180,460426,487692,559986,1315034,535205,728490,553841,893544,235957,345303,91785,390633,394757,272364,76491,9786
2007,22958360,22866867,3798015,2629269,1934968,2606794,1870061,2764868,460398,495821,560163,1314354,533717,725672,551345,889563,233660,343302,92390,390397,399035,273075,81547,9946
2008,23037031,22942706,3833730,2622923,1958686,2624072,1873005,2769054,460902,503273,560397,1312935,531753,723674,548731,884838,231849,341433,93308,388979,405371,273793,84570,9755
2009,23119772,23016050,3873653,2607428,1978782,2635761,1875406,2770887,461625,510882,561744,1312467,530824,722795,547716,882640,232497,340964,96210,388321,411587,273861,93803,9919
2010,23162123,23054815,3897367,2618772,2002060,2648419,1873794,2773483,460486,513015,560968,1307286,526491,717653,543248,873509,230673,338805,96918,384134,415344,272390,97364,9944
2011,23224912,23110923,3916451,2650968,2013305,2664394,1876960,2774470,459061,517641,562010,1303039,522807,713556,537942,864529,228290,336838,97157,379927,420052,271526,103883,10106
2012,23315822,23191401,3939305,2673226,2030161,2684893,1881645,2778659,458595,523993,563976,1299868,520196,710991,533723,858441,226252,335190,98843,377153,425071,271220,113111,11310
2013,23373517,23240639,3954929,2686516,2044023,2701661,1883208,2779877,458456,530486,565554,1296013,517222,707792,529229,852286,224821,333897,100400,374914,428483,270872,120713,12165
2014,23433753,23293524,3966818,2702315,2058328,2719835,1884284,2778992,458777,537630,567132,1291474,514315,705356,524783,847917,224470,333392,101758,373077,431988,270883,127723,12506
 ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
