年份,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,2.7,2.8,2.6,2.1,2.6,3.3,3.2,3.4,2.3,2.1,1.8,2.5,2.3,2.5,2.8,3.3,2.8,1.7,4,2.5,2.5,"",""
1999,2.9,3,2.9,2,3.1,3.8,3.8,3.5,1.8,2.2,1.7,3.1,2.2,2.8,2.2,2.8,3.7,1.2,4.2,2.7,3,"",""
2000,3,3,2.7,2,3.4,3.6,3.9,3.6,1.7,2.7,1.7,3.8,2.6,2.8,2.2,3.1,3.9,1.6,4.2,2.7,3,"",1.8
2001,4.6,4.9,3.9,4.3,4.9,4.8,5,5,3.8,4.5,4,4.9,4.1,4,4.5,4.3,5.1,3.5,5.1,4.3,4.6,"",1.3
2002,5.2,5.5,4.6,5.1,5.4,5,5.5,5.4,4.4,4.9,5.2,5.3,4.7,5.2,4.9,4.9,5.5,4,5.5,5.3,5.2,4.2,1.6
2003,5,5.2,4.6,4.7,5.3,4.9,5.2,5.2,4.2,4.8,4.7,5.3,5,5.1,4.9,4.9,5.3,4.5,5.2,5.2,5.1,3.3,1.3
2004,4.4,4.6,4.2,4,4.6,4.4,4.6,4.6,3.8,4.5,4.2,4.7,4.6,4.8,4.5,4.5,4.8,4.1,4.6,4.6,4.5,2.5,1.1
2005,4.1,4.1,3.9,4.1,4.2,4.1,4.2,4.3,3.9,4.1,4,4.4,4.2,4.3,4.2,4.2,4.4,4.2,4.3,4.2,4.1,2.4,1.3
2006,3.9,3.8,3.7,4,4.1,3.8,4.1,4.1,3.4,3.8,3.8,4.2,3.9,3.8,3.7,3.9,4.2,4.1,4.2,4.1,3.9,1.9,0.9
2007,3.9,3.8,3.7,4,4,3.9,4.1,4,3.9,3.9,3.8,4.2,3.9,3.8,3.8,3.8,4.1,3.8,4.2,3.8,3.8,2.4,0.7
2008,4.1,4.1,4,4.3,4.2,4.1,4.3,4.3,4,4.2,4.2,4.4,4,4.2,4,4,4.2,4.2,4.3,4.1,4.1,2.6,0.6
2009,5.8,5.9,5.8,6,5.9,5.8,5.9,5.7,5.9,5.8,5.8,6,5.8,5.9,5.8,5.8,5.9,5.7,5.7,5.8,5.8,2.5,0.7
2010,5.2,5.2,5.2,5.3,5.2,5.1,5.2,5.1,5.1,5.3,5.2,5.3,5.1,5.1,5.1,5.4,5.4,5.1,5.2,5.2,5.1,2.1,0.6
2011,4.4,4.4,4.4,4.4,4.4,4.3,4.4,4.4,4.1,4.4,4.4,4.6,4.3,4.4,4.3,4.6,4.4,4.4,4.5,4.4,4.3,1.9,0.3
2012,4.2,4.2,4.3,4.3,4.2,4.2,4.3,4.3,4,4.3,4.2,4.4,4.2,4.2,4.2,4.3,4.3,4.2,4.3,4.2,4,1.3,0.2
2013,4.2,4.2,4.2,4.3,4.1,4.2,4.2,4.3,4,4.2,4,4.3,4.2,4.1,4.1,4.1,4.1,4,4.2,4.1,3.9,1.6,0.3
2014,4,3.9,4,4,3.9,4.1,3.9,3.9,3.9,4.1,3.9,4,3.9,3.9,3.9,3.9,3.8,3.9,4,3.9,3.7,1,0.3
