年份,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,634929.97,628763.85,56981.48,176504.82,31256.93,51381.32,43108.77,85346.16,11374.07,12415.81,15600.16,23881.51,13930.77,16894.54,15053.1,19293,10585.05,11788.28,5679.87,11815.37,9363.63,6509.21,5000.25,1165.86
1999,630905.33,624075.14,58607.41,162270.09,33008.48,46438.18,44823.68,88299.24,12251.43,11972.72,14052.7,24514.16,14365.82,18986.69,17260.64,19315.94,10218.57,11995.15,6117.53,11988.09,10101.9,7486.72,5453.3,1376.89
2000,791672.58,778703.57,83163.65,222015.86,38471.51,59479.12,46896.96,103086.92,12652.27,12738.03,17676.55,27998.5,24618.96,20132.55,20639.14,21973.75,10622.78,11471.26,7649.03,15844.28,12787.06,8785.36,10979.8,1989.21
2001,594618.15,584127.15,56844.73,126620.94,21720.79,66171.97,38495.31,73104.27,10627.79,9479.27,13867.23,26195.98,35946.23,15342.5,13653.06,19472.56,8843.39,11427.78,4974.14,12639.16,10779.64,7920.4,8335.78,2155.22
2002,592965.52,584613.52,49586.44,128628.55,32289.37,51254.9,38518.29,84707.74,12334.97,11595.62,16155.65,24824.43,21280.02,15672.7,16040.72,21834.94,9955.58,11154.9,6357.28,13409.9,11031.27,7980.24,6206.77,2145.23
2003,645200.57,634818.74,76324.18,130466.69,34213.3,58189.84,42918.46,88707.17,12409.51,10883.68,16102.32,26159.7,16668,18141.2,15798.21,23632.95,10770.18,12544.1,6898.15,13272.61,11815.89,8902.58,7925.8,2456.02
2004,709704.73,697706.93,75308.96,145869.18,41361.21,58690.94,47152.55,106954.52,15551.49,14717.47,15973.52,28119.36,16403.32,21240.04,15849.75,24544.38,10353.89,13237.22,7388.95,15358.7,14194.38,9437.08,9023.04,2974.77
2005,738507.14,726265.19,81846.75,158150.5,37658.59,61962.42,48214.73,120845.21,14499.33,13769.54,17092.31,28960.83,15032.86,21190.58,17081.2,23227.57,9854.38,13449.21,6841.4,15372.81,12276.61,8938.36,9114.17,3127.78
2006,708256.88,696886.07,67984.42,153214.45,36143.16,62324.36,48621.96,106498.39,14421.57,13539.66,15648.6,28219.34,16560.78,20311.42,19009.79,25490.01,10416.03,14355.43,6367.7,15310.27,13181.44,9267.3,8985.9,2384.91
2007,728676.17,716822.92,73200.73,161795.52,36910.09,65913.62,49373.83,94844.64,14364,16076.67,16529.28,28996.86,21598.04,21728.95,20669.91,25716.29,10711.6,14772.97,6781.79,14101.81,13933.41,8802.9,9242.25,2611
2008,779161.95,766549.64,91052.4,153864.93,44340.8,74807.12,55144.94,90495.44,16699.64,17059.18,20967.51,29517.36,21956.75,23352,22596.52,30942.03,11946.18,15547.18,7282.66,14207.38,14536.43,10233.18,10184.43,2427.88
2009,781577.97,768472.23,88948.91,145751.38,45895.36,68585.49,53554.35,102296.61,17067.42,18211.05,18790.67,33622.88,23745.93,26603.72,20823.53,27638.05,11541.98,14367.26,7000.91,17583.48,14757.21,11686.04,10512.93,2592.81
2010,837506.57,822766.27,90550.95,169071.39,47726.14,76442.05,58795.48,102549.54,17509.77,19929.41,21564.92,33478.54,23877.58,21297.75,26037.99,34618.83,15831.35,14553.94,7427.44,15760.58,14463.57,11279.03,11971.33,2768.97
2011,939329.11,923718.36,142802.93,164128.48,58054.05,90996.29,71620.68,112839,20385.27,22772.58,21755.83,33572.17,21963.25,24608.45,21624.3,34412.14,13951.29,16185.08,7926.93,16968.51,15653.93,11497.19,12264.73,3346.02
2012,934503.48,917959.23,134677.73,161070.92,62480.6,95161.34,77617.06,103810.35,19957.16,22658.74,22235.66,36248,21555.7,24008.85,21093.25,32368.45,13530.32,17513.6,7964.16,16481.5,16841.01,10684.84,13475.28,3068.97
2013,950184.48,933654.12,137198.96,160144.41,61260.83,102493.83,73487.4,112068.72,20515.26,20656.41,22351.36,37560.77,22871.52,24794.74,21661.79,31354.97,13547.68,17830.92,8472.3,16768.53,17206.25,11407.47,13216.48,3313.86
2014,981755.1,966331.41,142571.74,188724.22,56716.72,99916.97,71582.56,116362.37,19458.45,22078.3,22394.37,39906.51,23820.22,26040.9,21511.12,31848.99,13773.88,16951.27,7957.56,16673.71,16912.96,11128.59,12370.21,3053.48
