年份,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,231611,227468,331341,238753,230959,201188,226060,194901,217900,181714,189654,187981,195769,176055,196415,171931,213324,163309,219775,256029,249562,217679,""
1999,244918,239971,336651,250478,250930,216577,235739,232872,233956,204676,193149,227798,212760,178563,215245,168943,209142,186268,242730,261256,246550,179786,""
2000,246256,251463,338190,253976,229329,213872,240072,221787,247438,201061,187578,196614,221841,205662,222350,202942,226182,228628,250981,288539,233729,205921,328187
2001,242640,244860,339257,240443,234219,206799,239295,203902,245392,195312,185972,195501,224627,189221,201698,201609,227028,202567,221628,304372,226393,205390,329709
2002,239978,244558,357214,251277,223221,207345,228276,198736,227123,197581,191680,183699,200586,172609,226036,199789,200976,203920,204576,278438,237469,222384,290147
2003,249763,256421,365696,248638,237919,228743,237473,210583,233273,199542,206599,191984,200478,180628,230308,215204,220776,189693,211050,301189,220629,196466,311023
2004,254643,258607,380465,260039,224186,221943,249822,207785,240242,202884,206502,220406,200515,193479,219940,203125,236692,229485,253161,328112,223909,240873,295296
2005,261571,266157,392385,264219,232364,228204,259971,239789,257502,208364,205210,206194,209930,212213,222551,209626,228532,212297,247921,289002,247078,240855,296153
2006,267769,283576,377966,265209,246337,232722,259567,227852,244340,243413,214573,231041,229462,210027,222534,214753,256628,239282,242998,333697,245611,209767,310769
2007,273336,262347,389064,282757,261426,245010,279512,226849,242715,234813,213289,202299,219774,204771,250350,250159,247331,215539,263625,367087,240144,238767,319785
2008,272742,285062,386340,271965,244880,243987,268912,258516,284478,219287,206670,212894,217561,228268,223284,196147,227134,244150,261760,330721,247958,242540,313552
2009,265750,265141,387053,268841,238208,235001,265920,239955,274737,213792,210870,228450,207073,217976,225212,227057,223026,233616,265588,323029,241774,256985,314845
2010,273647,273351,402056,272470,241598,234401,279919,249995,282953,230692,212335,228920,204811,216608,223022,222905,251270,287265,273157,335580,250342,244550,366533
2011,275984,279239,381561,273295,265316,245524,270996,227574,304977,233604,218099,214423,225436,236381,235938,223482,270372,235343,265936,334118,245468,268720,348707
2012,285939,278023,398217,287727,271157,242163,283843,271346,305546,245261,237947,250539,232985,265233,235953,247239,276949,259663,269329,344261,299540,276067,317002
2013,293523,284783,408688,288668,282352,261153,295244,266844,314004,259072,235744,243951,245405,236947,232187,266295,271606,273034,290287,361153,311947,309813,344406
2014,303762,291591,412973,314701,303365,266012,300872,284733,317748,269461,236695,258273,256153,241131,246320,270364,271001,293299,287145,370714,322686,292576,340562
