年份,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,58,58.9,56.1,57.3,59.4,60.4,56.7,58.2,62.2,59.3,55.7,60.3,60.1,61.1,54.9,59,56.6,49.7,57,60.2,54.2,"",""
1999,57.9,59.1,56.3,57.3,59.1,59.7,57.1,57.8,60.8,58.5,55.5,59.5,60,59.6,55.7,59.6,56,48.4,56.2,60.4,54.2,"",""
2000,57.7,58.5,56.3,57.9,59.4,58.4,57.1,56.7,60,57.8,55,59.3,58.8,58.9,55.6,59.9,55.2,45.3,56.6,62.1,54.1,"",54.7
2001,57.2,58.4,55.5,58.4,59,57.8,55.9,56.8,59,57.2,55.7,57.9,57.9,57.9,55.8,59.7,54.7,46.3,56.2,60.3,53.2,"",63.5
2002,57.3,58.6,55.8,58.3,58.1,58.8,56.9,56.2,58.6,56.8,56,56.2,58.5,57.9,56.2,58.6,55.7,46,55.1,58.9,52.8,48.1,68.9
2003,57.3,58,55.5,58.1,58.4,59.5,57.7,55.7,59.3,56,55.2,56.3,57.7,58.7,56.1,58.3,56,47.8,56.2,59.5,52.4,49,71.3
2004,57.7,58.3,55.8,58.4,59.3,59.6,57.9,56.2,59.5,55.5,55.8,57.8,56.4,58.6,56,57.8,56,48.4,57.1,59.8,53.9,49.7,68.9
2005,57.8,58.4,55.5,59.4,59.1,59.5,57.9,56.5,58.7,56.8,57.1,57,57.5,58.3,55.5,57.2,56.7,48.9,56.1,60.7,54.7,47.4,69.2
2006,57.9,58.7,55.2,60.1,59.1,59.6,58.1,57.8,57.4,57.5,57,58,56.7,57.4,55.9,57.1,58.3,49.1,56,60.8,54.4,46.2,69.8
2007,58.2,59.2,55.7,59.8,59.2,60.2,57.4,58.3,58.1,57.7,58,58.9,58.9,57.7,57,58.9,56.6,49.4,56.2,60.5,55.1,49.4,71.2
2008,58.3,59.3,56.3,59.7,59.8,60,57.4,56.8,57.7,57.7,57.9,58.5,58.4,58.3,56.8,59.1,54.7,49.2,55.4,60.3,54.9,50.6,73.4
2009,57.9,59,56.5,58.3,59.5,59.3,57.1,56.6,56,57.3,57.7,58.6,58.7,57.6,55.7,58.7,55.7,49.8,54.6,60.2,55.1,49.8,74.9
2010,58.1,58.3,56.3,58.7,59.6,59.4,57.3,57.8,57.9,57.8,59,60.1,57.5,58.2,56,59.6,56,49.4,55.6,60.8,56.6,49.6,73.5
2011,58.2,58.8,56.5,59.3,59.4,59.3,57.1,57.5,58.4,57.9,58.9,58.7,58.2,59.1,56,57.4,55.7,50,55.2,60.9,57.4,49.9,72.3
2012,58.3,59.2,56.4,59.4,59.7,59.9,57.2,57.9,58,58,59,59.7,57.7,58.4,56.8,57.1,55.3,50.4,55.6,60.1,56.5,50.7,72.4
2013,58.4,59.2,56.8,59.6,59.5,60.3,57.2,58,57.8,57.4,59.3,60,57.7,57.9,57.5,57.8,55,52.2,55.9,60,55.9,51.4,71.9
2014,58.5,59.2,57.2,59.9,59.2,60.5,57.1,57.9,57.9,57.8,59.3,59.6,58.4,58.5,57.7,57.4,55.4,53.3,56.5,60.2,56.6,52.5,71.2
