年份,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,1635617,1631141,267164,230402,121849,184326,141776,272889,28856,24293,22755,57057,22398,40331,31977,47964,14586,25051,9786,39178,26607,21896,2746,1730
1999,1444021,1441072,259212,205035,118666,178283,117713,205029,24185,22077,20952,50929,23017,31280,26378,40894,11690,23557,3907,31534,25991,20743,2357,592
2000,1381843,1377276,251936,192667,115888,171953,112821,189254,24256,22175,20435,49103,21749,29069,25157,39766,11286,22487,4480,30270,25736,16788,3660,907
2001,1373363,1365425,266683,172037,107794,162217,114258,183894,27695,22762,20109,46266,21337,29394,27026,44708,12793,22384,8104,31342,25438,19184,5088,2850
2002,1452575,1446164,250530,192708,114015,168083,116277,216891,31659,24633,20793,49064,22683,33852,27660,50182,16142,25267,7876,32330,26099,19420,4613,1798
2003,1273526,1268175,231804,177009,109412,153742,97663,177509,24068,23016,18839,43374,19773,25973,21996,36801,12290,22779,3725,27565,23828,17009,4549,802
2004,1264937,1257488,226483,174294,115448,152251,98538,175655,23748,25020,18820,42354,18685,26368,20679,35824,10705,22605,3727,26268,23908,16108,6177,1272
2005,1442018,1431240,226810,180866,125592,244261,104489,186368,27389,31021,20592,45537,21177,28546,26415,42531,12224,23413,5497,29112,27131,22269,8535,2243
2006,1414340,1403402,238874,200735,126054,174829,108102,191024,25830,30496,22733,48583,21466,29251,26113,41471,11952,23847,4597,30348,27503,19594,10098,840
2007,1173040,1164206,208248,168905,102147,142848,86552,156114,20931,25278,19318,40398,18107,25273,19865,33770,9438,18622,4576,24148,24373,15295,7974,860
2008,1196407,1188788,217631,163599,106317,148328,87515,153778,22759,26263,20308,42873,18928,27648,21322,34252,9267,18855,4835,23257,25468,15585,6935,684
2009,1198561,1184614,223035,160943,103947,139366,86338,145198,26067,26959,20909,42346,19429,27785,22830,36683,11501,19323,7096,23251,26196,15412,13002,945
2010,1213899,1205171,226660,177268,134191,143182,81416,141383,21575,26209,20942,40521,17749,26057,20803,32144,9675,19104,5308,21437,25008,14539,7867,861
2011,1128449,1117070,203459,175907,99132,138008,84641,140697,20044,24893,19263,37927,16769,22774,17922,28587,8618,17412,4826,19208,24069,12914,10547,832
2012,1118006,1102934,198847,165994,102780,138734,80439,138552,22137,25339,18501,36526,17222,23197,18391,28918,8310,17107,6010,19000,23472,13458,13284,1788
2013,1079702,1066071,189389,152687,104227,136290,79443,132384,21460,26026,18773,35247,16343,22254,16929,27926,8475,17500,5748,19039,23130,12801,12210,1421
2014,1073783,1060424,180758,151181,103332,136693,76074,127173,23031,26596,19755,35693,16609,24319,17817,30774,9856,19289,5957,19376,22846,13295,12138,1221
