年份,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,605.96,607.42,1685.51,9712.81,1352.21,1076.97,831.38,912.81,217.21,299.79,307.56,1211.35,132.93,580.24,297.49,328.05,71.1,77.04,705.19,2878.29,3422.24,4382.3,333.6,231.08
1999,610.49,611.95,1710.5,9717.86,1385.22,1093.5,835.8,918.4,216.92,303.84,307.53,1215.23,132.48,578.11,295.88,327.5,70.49,76.85,701.64,2901.51,3477.14,4416.6,337.99,227.78
2000,615.58,617.01,1738.26,9736.85,1419.07,1110.71,840.62,924.99,217.01,308.01,307.48,1219.78,131.88,575.88,295.69,326.99,69.79,76.4,705.45,2925.79,3539.4,4434.49,351.71,233.78
2001,619.14,620.44,1758.9,9690.23,1443.92,1122.39,843.31,927.08,217.29,312.62,307.99,1223.01,131.94,576.03,296.25,327.63,69.59,76.3,727.3,2944.93,3586.06,4464.65,372.14,307.33
2002,622.33,623.59,1774.09,9719.86,1468.2,1132.56,845.33,930.98,216.51,317.09,308.06,1225.04,131.82,575.44,295.74,326.48,69.4,76.08,728.7,2948.58,3638.91,4463.21,385.04,304.27
2003,624.64,625.86,1791.19,9665.71,1492.34,1142.16,847.06,932.3,216.12,321.72,308.14,1225.29,131.6,573.66,294.69,325.61,69.08,75.86,727.18,2954.54,3678.29,4491.32,398.44,305.76
2004,626.98,628.1,1806.57,9648.55,1517.69,1150.54,848.94,933.93,215.66,327.3,307.99,1225.58,131.11,570.77,293.37,324.33,68.38,75.43,723.67,2955.26,3717.23,4503.76,421.13,324.97
2005,629.22,630.16,1820.49,9626.11,1540.04,1158.62,850.01,934.57,215.33,334.6,307.61,1224.71,130.81,568.11,292.95,323.64,67.97,75.03,729.04,2950.66,3753.17,4526.42,459.07,359.2
2006,632.16,632.95,1835.31,9684.49,1565.3,1168.37,851.74,936.84,214.79,341.63,307.63,1223.98,130.33,564.36,291.24,321.93,67.12,74.6,723.49,2942.42,3790.18,4537.46,499.76,339.79
2007,634.39,635.08,1850.37,9673.55,1584.8,1176.94,853.27,938.43,214.78,347.33,307.73,1223.34,129.97,562.17,289.93,320.49,66.47,74.17,728.26,2940.65,3831.25,4549.31,537.71,345.35
2008,636.57,637.19,1867.77,9650.21,1604.23,1184.74,854.61,939.85,215.01,352.55,307.86,1222.02,129.49,560.63,288.55,318.79,65.96,73.77,735.5,2929.97,3892.09,4561.27,557.64,338.72
2009,638.82,639.19,1887.22,9593.2,1620.69,1190.02,855.7,940.47,215.35,357.88,308.6,1221.59,129.27,559.94,287.72,318,66.14,73.67,758.37,2925.01,3951.77,4562.4,618.52,344.41
2010,639.99,640.27,1898.78,9634.93,1639.75,1195.73,854.97,941.35,214.82,359.37,308.17,1216.76,128.21,555.96,285.37,314.71,65.62,73.2,763.95,2893.47,3987.84,4537.9,642.01,345.28
2011,641.7,641.8,1908.07,9753.39,1648.96,1202.94,856.41,941.26,214.15,362.61,308.74,1212.81,127.31,552.79,282.59,311.47,64.94,72.77,765.84,2861.78,4033.04,4523.5,684.99,350.9
2012,644.21,644.04,1919.21,9835.28,1662.77,1212.2,858.55,942.68,213.93,367.06,309.82,1209.86,126.68,550.8,280.37,309.28,64.36,72.42,779.13,2840.89,4081.23,4518.41,745.84,392.71
2013,645.81,645.4,1926.82,9884.18,1674.12,1219.77,859.26,943.09,213.87,371.61,310.69,1206.27,125.95,548.32,278.01,307.06,63.96,72.14,791.4,2824.02,4113.99,4512.61,795.97,422.4
