年份,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,105.22,105.21,102.51,98.77,106.61,102.81,105.25,105.44,107.53,110.6,110.95,107.79,109.54,112.16,111.86,109.65,116.76,113.45,110.29,105.84,105,101.55,106.77,128.38
1999,104.95,104.94,102.25,98.31,106.18,102.6,105.03,105.07,107.33,110.35,110.79,107.79,109.42,112.3,111.81,109.52,116.45,112.86,110.48,105.48,104.49,101.35,106.24,127.46
2000,104.66,104.65,102.02,97.92,105.81,102.31,104.74,104.77,107.21,109.84,110.61,107.65,109.36,112.11,111.9,109.29,116.12,112.45,109.99,105.12,104.16,101.06,107.6,128.86
2001,104.36,104.34,101.76,97.49,105.46,102.06,104.47,104.56,106.77,109.47,110.32,107.44,109.08,111.85,111.56,108.81,115.39,111.76,108.97,104.72,103.79,100.94,108.91,133.17
2002,104.08,104.06,101.56,97.09,105,101.83,104.21,104.26,106.55,109.23,110.35,107.36,108.9,111.44,111.42,108.65,114.71,111.38,108.62,104.53,103.29,100.5,109.32,130.91
2003,103.84,103.81,101.34,96.73,104.72,101.63,104,103.97,106.41,108.81,110.33,107.22,108.75,111.38,111.42,108.42,113.99,110.94,108.18,104.28,102.89,100.17,110.86,132.41
2004,103.53,103.5,101.1,96.27,104.29,101.35,103.72,103.62,106.26,108.68,110.24,107.05,108.5,111.36,111.32,108.19,113.56,110.33,107.78,103.95,102.16,99.79,111.37,137.66
2005,103.16,103.12,100.79,95.71,103.92,101.05,103.46,103.19,105.83,108.15,110.09,106.87,108.24,111.08,110.88,107.82,112.93,109.54,107.52,103.67,101.51,99.12,111.72,140.81
2006,102.72,102.67,100.37,95.05,103.49,100.7,103.07,102.71,105.57,107.65,109.65,106.64,107.8,110.83,110.6,107.53,112.4,108.94,107.25,103.19,100.83,98.4,112.79,142.17
2007,102.28,102.23,100.01,94.51,102.94,100.31,102.68,102.2,105.13,107.26,109.3,106.41,107.39,110.59,110.32,107.06,111.53,108.16,106.76,102.69,100.17,97.93,113.76,140.82
2008,101.89,101.84,99.62,94.01,102.51,99.99,102.35,101.74,104.8,106.86,109.07,106.19,107.04,110.22,109.94,106.72,111.14,107.68,106.36,102.49,99.71,97.67,111.72,137.64
2009,101.34,101.3,99.05,93.58,101.97,99.6,101.81,101.12,104.34,106.38,108.42,105.76,106.36,109.58,109.3,106.12,110.23,106.88,105.97,101.84,98.89,97.19,106.94,137.87
2010,100.94,100.91,98.67,93.09,101.66,99.24,101.54,100.61,103.93,106.03,107.93,105.4,106.11,109.29,108.97,105.9,109.84,106.31,105.56,101.58,98.63,96.88,105.01,136.76
2011,100.57,100.55,98.14,92.85,101.39,98.91,101.16,100.19,103.67,105.63,107.54,105.16,105.97,109.14,108.89,105.65,109.28,105.85,105.44,101.49,98.45,96.65,102.69,136.51
2012,100.26,100.24,97.69,92.61,101.14,98.63,100.89,99.8,103.53,105.36,107.06,105.04,105.7,108.82,108.89,105.53,108.63,105.48,105.81,101.47,98.36,96.35,101.81,132.62
2013,99.96,99.94,97.27,92.37,100.91,98.37,100.63,99.42,103.35,105.15,106.76,104.9,105.45,108.58,108.73,105.27,108.29,104.99,106.21,101.28,98.1,95.96,101.1,132.07
2014,99.68,99.66,96.86,92.11,100.67,98.12,100.41,99.07,103.03,104.9,106.31,104.76,105.38,108.4,108.7,105.14,107.7,104.45,106.13,101.15,98.02,95.63,100.54,133.63
