年份,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,1989.92,1993.72,2218.84,1976.09,2129.08,2552.48,1618.74,2279.79,1303.33,1469.22,1543.47,1703.21,1530.69,1120.52,993.09,1675.49,1342.91,1699.51,813.81,2131.09,3305.17,2742.49,663.79,-
1999,1754.8,1757.62,1887.6,1848.8,1837.79,2092.37,1388.99,2130.55,1256.78,1347.5,1399.53,1329.98,1325.98,921.86,898.09,1423.86,1059.19,1583.07,802.35,2079.97,3028.4,2271.29,747.15,227.01
2000,1976.69,1979.95,2145.95,2012.56,2018.39,2429.98,1499.08,2291.9,1484.21,1558.14,1698.78,1510.53,1607.63,1145.54,1123.77,1463.61,1034.25,1630.87,611.73,2047.76,3334.35,2984.8,727.53,1038.14
2001,2196.56,2200.51,2126.87,2145.15,2490.12,2862.64,1822.26,2516.77,1641.06,1745.12,1956.54,1602.8,1953.75,1371.82,1389.22,1738.62,917.69,1923.12,842.85,2107.03,3316.55,3347.21,752.78,1167.86
2002,2240.95,2244.71,2196.78,2135.28,2482.02,2991.11,1883.65,2663.2,1580.59,1783.36,1768.85,1597.31,1853.92,1530.99,1355.89,1776.22,1131.04,1700,1040.53,2009.67,3335.49,3807.05,904.3,1476.1
2003,2192.8,2196.82,2203.34,2210.4,2428.04,2876.63,1906.97,2536.27,1566.54,1694.58,1799.82,1590.81,1703.08,1584.71,1312.61,1748,1082.56,1594.77,805.64,1968.63,3116.74,3526.32,925.65,569.18
2004,2306.3,2310.45,2451.9,2239.48,2547.63,3080.53,1910.22,2456.31,1581.08,2145.42,1750.98,1827.73,1859.27,1640.86,1248.85,1867.99,1091.03,1834.94,1067.04,2308.75,3197.78,3443.75,1010.85,957.89
2005,2442.21,2447.55,2684.76,2223.77,3018.69,3120.78,2040.82,2704.04,1782.93,2453.96,1788.53,1923.81,2096.73,1730.22,1323.22,1647.71,1184.6,2101.24,1114.51,2243.44,2845.78,3134.07,875.89,883.07
2006,2246.76,2252.36,2493.47,2121.32,2631.53,2756.47,2075.53,2418.17,1671.78,2181.34,1605.64,1732.51,2036.05,1587.61,1332.38,1616.77,1099.18,2057.17,1078.83,1760.57,2463.81,2974.64,757.73,457.01
2007,2146.03,2151.82,2345.48,2049.64,2113.35,2542.94,2008.09,2420.9,1637.66,2332.66,1563.36,1700.62,2003.7,1620.45,1407.73,1637.14,936.08,2105.71,1111.99,1829.64,2502.42,2849.45,673.26,537.2
2008,1971.67,1977.15,2263.96,2068.77,1816.7,1972.64,1843.46,2350.38,1542.17,2177.17,1479.97,1582.24,1807.65,1447.69,1253.37,1652.73,824.04,1985.88,905.77,1623.61,1973.13,2317.56,630.88,527.89
2009,1672.88,1676.8,1942.66,2009.2,1541.5,1366.24,1508.11,2123.63,1312.48,1646.49,1168.3,1207.28,1444.22,1144.58,1177.07,1408.56,733.94,1918.82,854.8,1327.42,1594.94,1991.4,800.57,426.96
2010,1607.25,1611.96,1751.1,1899.89,1368.25,1214.11,1433.16,2269.65,1220.24,1427.88,1157.2,1251.42,1430.6,1080.91,1201.69,1631.41,640.8,2044.22,1065.61,1514.13,1544.51,1814.18,584.83,533.66
2011,1499.01,1503.57,1702.01,1772,1188.63,1098.1,1402.81,2138.37,1184.06,1409.2,1122.91,1065.61,1347.95,984.76,1150.58,1361.42,639.27,1701.79,1000.64,1506.69,1506.11,1620.84,557.52,448.88
2012,1363.78,1368.17,1595.01,1506.82,1063.2,1066.8,1299.42,1801.51,1165.36,1336.17,1097.88,980.75,1248.89,896.57,1057.23,1200.37,892.77,1482.08,876.53,1555.98,1421.33,1612.91,504.16,569.67
2013,1280.66,1284.71,1377.89,1539.44,997.89,1048.98,1362.97,1308.26,1255.98,1265.84,1004.31,972.23,1277.4,1018.34,1084.15,1168.28,1501.75,1700.83,847.21,1502.26,1436.58,1575.75,556.83,494.14
2014,1308.77,1312.15,1267.32,1631.23,983.29,1051.81,1505.3,1219.1,1405.53,1277.76,1157.25,1048.2,1241.45,1104.77,1221.24,1183.15,1594.96,1972.16,1131.79,1725.42,1586.57,1516.55,671.4,1361.92
